,Dates,Zones,Depth,No. Extremes,No. Selected,No. Detected
99,2018-01-02,West,RPD,49.0,281.0,14.0
100,2018-02-13,Far_West,BD,88.0,8.0,0.0
101,2018-02-13,Far_West,MBD,88.0,0.0,0.0
102,2018-02-13,Far_West,DQ,88.0,12.0,1.0
103,2018-02-13,Far_West,EXD,88.0,5.0,0.0
104,2018-02-13,Far_West,LID,88.0,0.0,0.0
105,2018-02-13,Far_West,ERD,88.0,5.0,0.0
106,2018-02-13,Far_West,HMD,88.0,84.0,7.0
107,2018-02-13,Far_West,RTD,88.0,1.0,0.0
108,2018-02-13,Far_West,ID,88.0,0.0,0.0
109,2018-02-13,Far_West,RPD,88.0,0.0,0.0
110,2018-02-13,North,BD,88.0,0.0,0.0
111,2018-02-13,North,MBD,88.0,0.0,0.0
112,2018-02-13,North,DQ,88.0,0.0,0.0
113,2018-02-13,North,EXD,88.0,0.0,0.0
114,2018-02-13,North,LID,88.0,0.0,0.0
115,2018-02-13,North,ERD,88.0,0.0,0.0
116,2018-02-13,North,HMD,88.0,31.0,4.0
117,2018-02-13,North,RTD,88.0,70.0,8.0
118,2018-02-13,North,ID,88.0,0.0,0.0
119,2018-02-13,North,RPD,88.0,0.0,0.0
120,2018-02-13,North_Central,BD,88.0,34.0,4.0
121,2018-02-13,North_Central,MBD,88.0,4.0,0.0
122,2018-02-13,North_Central,DQ,88.0,9.0,2.0
123,2018-02-13,North_Central,EXD,88.0,34.0,4.0
124,2018-02-13,North_Central,LID,88.0,0.0,0.0
125,2018-02-13,North_Central,ERD,88.0,35.0,4.0
126,2018-02-13,North_Central,HMD,88.0,8.0,1.0
127,2018-02-13,North_Central,RTD,88.0,9.0,0.0
128,2018-02-13,North_Central,ID,88.0,2.0,0.0
129,2018-02-13,North_Central,RPD,88.0,0.0,0.0
130,2018-02-13,South,BD,88.0,49.0,8.0
131,2018-02-13,South,MBD,88.0,91.0,9.0
132,2018-02-13,South,DQ,88.0,35.0,8.0
133,2018-02-13,South,EXD,88.0,81.0,10.0
134,2018-02-13,South,LID,88.0,0.0,0.0
135,2018-02-13,South,ERD,88.0,84.0,12.0
136,2018-02-13,South,HMD,88.0,3.0,0.0
137,2018-02-13,South,RTD,88.0,105.0,15.0
138,2018-02-13,South,ID,88.0,100.0,9.0
139,2018-02-13,South,RPD,88.0,125.0,14.0
140,2018-02-13,West,BD,88.0,34.0,2.0
141,2018-02-13,West,MBD,88.0,0.0,0.0
142,2018-02-13,West,DQ,88.0,49.0,1.0
143,2018-02-13,West,EXD,88.0,22.0,2.0
144,2018-02-13,West,LID,88.0,0.0,0.0
145,2018-02-13,West,ERD,88.0,22.0,2.0
146,2018-02-13,West,HMD,88.0,130.0,7.0
147,2018-02-13,West,RTD,88.0,81.0,9.0
148,2018-02-13,West,ID,88.0,0.0,0.0
149,2018-02-13,West,RPD,88.0,0.0,0.0
150,2018-03-14,Far_West,BD,68.0,131.0,13.0
151,2018-03-14,Far_West,MBD,68.0,10.0,1.0
152,2018-03-14,Far_West,DQ,68.0,187.0,15.0
153,2018-03-14,Far_West,EXD,68.0,97.0,10.0
154,2018-03-14,Far_West,LID,68.0,70.0,9.0
155,2018-03-14,Far_West,ERD,68.0,98.0,10.0
156,2018-03-14,Far_West,HMD,68.0,266.0,22.0
157,2018-03-14,Far_West,RTD,68.0,153.0,10.0
158,2018-03-14,Far_West,ID,68.0,0.0,0.0
159,2018-03-14,Far_West,RPD,68.0,15.0,1.0
160,2018-03-14,North,BD,68.0,73.0,9.0
161,2018-03-14,North,MBD,68.0,0.0,0.0
162,2018-03-14,North,DQ,68.0,163.0,19.0
163,2018-03-14,North,EXD,68.0,84.0,12.0
164,2018-03-14,North,LID,68.0,14.0,1.0
165,2018-03-14,North,ERD,68.0,85.0,12.0
166,2018-03-14,North,HMD,68.0,321.0,28.0
167,2018-03-14,North,RTD,68.0,124.0,17.0
168,2018-03-14,North,ID,68.0,0.0,0.0
169,2018-03-14,North,RPD,68.0,1.0,0.0
170,2018-03-14,North_Central,BD,68.0,166.0,16.0
171,2018-03-14,North_Central,MBD,68.0,2.0,0.0
172,2018-03-14,North_Central,DQ,68.0,143.0,13.0
173,2018-03-14,North_Central,EXD,68.0,104.0,13.0
174,2018-03-14,North_Central,LID,68.0,1.0,0.0
175,2018-03-14,North_Central,ERD,68.0,105.0,13.0
176,2018-03-14,North_Central,HMD,68.0,72.0,7.0
177,2018-03-14,North_Central,RTD,68.0,110.0,12.0
178,2018-03-14,North_Central,ID,68.0,1.0,0.0
179,2018-03-14,North_Central,RPD,68.0,0.0,0.0
180,2018-03-14,South,BD,68.0,121.0,11.0
181,2018-03-14,South,MBD,68.0,89.0,7.0
182,2018-03-14,South,DQ,68.0,64.0,6.0
183,2018-03-14,South,EXD,68.0,101.0,8.0
184,2018-03-14,South,LID,68.0,0.0,0.0
185,2018-03-14,South,ERD,68.0,102.0,8.0
186,2018-03-14,South,HMD,68.0,3.0,1.0
187,2018-03-14,South,RTD,68.0,76.0,8.0
188,2018-03-14,South,ID,68.0,81.0,6.0
189,2018-03-14,South,RPD,68.0,15.0,0.0
190,2018-03-14,West,BD,68.0,99.0,14.0
191,2018-03-14,West,MBD,68.0,0.0,0.0
192,2018-03-14,West,DQ,68.0,175.0,15.0
193,2018-03-14,West,EXD,68.0,88.0,10.0
194,2018-03-14,West,LID,68.0,4.0,1.0
195,2018-03-14,West,ERD,68.0,88.0,10.0
196,2018-03-14,West,HMD,68.0,203.0,20.0
197,2018-03-14,West,RTD,68.0,121.0,12.0
198,2018-03-14,West,ID,68.0,0.0,0.0
199,2018-03-14,West,RPD,68.0,25.0,5.0
